MSRP_Category,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_Range,Avg_Vehicle_Age,Share_%
Under 25K,147027,35,120,66.57007896508804,3.8899113768219444,97.70404433752874
25K–50K,1154,6,7,59.88821490467937,6.70103986135182,0.7668691272045826
50K–75K,2161,3,4,159.5395650161962,9.318371124479407,1.4360521524169005
75K–100K,83,4,4,64.2289156626506,7.879518072289157,0.055156098403795796
100K+,57,3,4,133.10526315789474,11.649122807017545,0.03787828444598025
