Age_Group,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_Range,Avg_MSRP,Share_%
0–2 Years,65520,30,82,4.604990842490842,0.0,43.540091173695195
3–5 Years,40695,26,60,118.24914608674284,536.8238112790269,27.04310150051169
6–10 Years,37212,20,50,122.6775502526067,2868.649226056111,24.728538961470477
10+ Years,7055,12,18,75.89624379872431,9771.110559886605,4.688268364322643
