,count,mean,std,min,25%,50%,75%,max,variance,range,skewness,kurtosis,CV_%
Model_Year,150482.0,2020.0054358660836,3.0152087266815197,1997.0,2018.0,2021.0,2023.0,2024.0,9.091483665456392,27,-0.9782454290493908,0.23541984512231684,0.1492673570647467
Electric_Range,150482.0,67.87783921000518,96.23000869819067,0.0,0.0,18.0,97.0,337.0,9260.214574053853,337,1.2194867245382488,-0.03204572596604205,141.7694048870171
Base_MSRP,150482.0,1312.644734918462,9231.310214715764,0.0,0.0,0.0,0.0,845000.0,85217088.28031562,845000,11.930855909140766,518.6918937652797,703.2603696299584
Vehicle_ID,150482.0,211112233.346367,81963879.64188957,4385.0,169347305.25,215030630.0,239911895.5,479254772.0,6718077565950161.0,479250387,0.897196183628993,3.2904167068683687,38.824789233039525
Legislative_District,150482.0,29.352234818782314,14.809043129483372,1.0,18.0,33.0,43.0,49.0,219.30775841089869,48,-0.4859819133227087,-1.061687045598417,50.45286405247465
