Electric_Utility,Vehicle_Count,State_Count,Manufacturer_Count,Model_Count
BONNEVILLE POWER ADMINISTRATION||CITY OF MCCLEARY - (WA),14,1,8,11
"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",13,1,6,10
CITY OF CHEWELAH,6,1,5,6
CITY OF SUMAS - (WA)||PUD NO 1 OF WHATCOM COUNTY,5,1,5,5
PORTLAND GENERAL ELECTRIC CO,3,1,1,2
BONNEVILLE POWER ADMINISTRATION||BENTON RURAL ELECTRIC ASSN,3,1,3,3
BONNEVILLE POWER ADMINISTRATION||CITY OF COULEE DAM - (WA),2,1,2,2
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF ASOTIN COUNTY||INLAND POWER & LIGHT COMPANY,2,1,1,2
"BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ALDER MUTUAL LIGHT CO, INC|PENINSULA LIGHT COMPANY",2,1,2,2
"BONNEVILLE POWER ADMINISTRATION||NESPELEM VALLEY ELEC COOP, INC",1,1,1,1
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF JEFFERSON COUNTY,1,1,1,1
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF ASOTIN COUNTY,1,1,1,1
BONNEVILLE POWER ADMINISTRATION||PENINSULA LIGHT COMPANY,1,1,1,1
CITY OF SEATTLE - (WA),1,1,1,1
