Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,1.0,1.0,1.0,1.0,1.0
Gradient Boosting,1.0,1.0,1.0,1.0,1.0
Extra Trees,0.9974597798475868,1.0,0.9473684210526315,0.972972972972973,1.0
Random Forest,0.9949195596951735,1.0,0.8947368421052632,0.9444444444444444,1.0
