Range_Category,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_MSRP,Avg_Vehicle_Age,Share_%
0–100,113200,37,125,718.123719081272,3.4316519434628976,75.22494384710464
101–200,6613,9,9,379.90322092847424,5.943444730077121,4.394545527039779
201–300,28010,9,14,4060.1749375223135,5.808889682256337,18.61352188301591
301–400,2659,1,2,0.0,4.0,1.766988742839675
