KPI,Value
Total Vehicles,150482.0
Unique Manufacturers,37.0
Unique Models,127.0
States Covered,41.0
EV Types,2.0
Average Electric Range,67.87783921000518
Median Electric Range,18.0
Average MSRP,1312.644734918462
Median Vehicle Age,3.0
