,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis,range,iqr,cv_percent
Postal_Code,150479.0,98168.34415433383,2473.6121844174118,1730.0,98052.0,98122.0,98370.0,99577.0,6118757.238898279,-29.861654989780085,937.8300705236242,97847.0,318.0,2.5197656186688464
Model_Year,150482.0,2020.0054358660836,3.0152087266815197,1997.0,2018.0,2021.0,2023.0,2024.0,9.091483665456392,-0.9782454290493908,0.23541984512231684,27.0,5.0,0.1492673570647467
Electric_Range,150482.0,67.87783921000518,96.23000869819067,0.0,0.0,18.0,97.0,337.0,9260.214574053853,1.2194867245382488,-0.03204572596604205,337.0,97.0,141.7694048870171
Base_MSRP,150482.0,1312.644734918462,9231.310214715764,0.0,0.0,0.0,0.0,845000.0,85217088.28031562,11.930855909140766,518.6918937652797,845000.0,0.0,703.2603696299584
Vehicle_ID,150482.0,211112233.346367,81963879.64188957,4385.0,169347305.25,215030630.0,239911895.5,479254772.0,6718077565950161.0,0.897196183628993,3.2904167068683687,479250387.0,70564590.25,38.824789233039525
Census_Tract,150479.0,52971954662.7863,1638841335.7708862,1081041901.0,53033009500.0,53033029309.0,53053072509.0,56033000100.0,2.685800923831302e+18,-25.965380842484407,696.1403141700539,54951958199.0,20063009.0,3.093790565599423
Legislative_District,150482.0,29.352234818782314,14.809043129483372,1.0,18.0,33.0,43.0,49.0,219.30775841089869,-0.4859819133227087,-1.061687045598417,48.0,25.0,50.45286405247465
Vehicle_Age,150482.0,5.994564133916349,3.01520872668152,2.0,3.0,5.0,8.0,29.0,9.091483665456394,0.9782454290493973,0.2354198451223235,27.0,5.0,50.2990485934068
Has_Electric_Range,150482.0,0.5368349702954506,0.49864299582578914,0.0,0.0,1.0,1.0,1.0,0.24864483728611797,-0.14774281467956193,-1.9781983523819002,1.0,1.0,92.88571412390623
Range_Percentile,150482.0,50.000332265653036,27.39297352197401,23.158583750880503,23.158583750880503,49.65843090868011,75.06047234885236,99.97474781036937,750.3749983755691,0.3236929191207437,-1.46469647646167,76.81616405948887,51.901888597971855,54.78558297659792
