,Skewness,Kurtosis
Postal_Code,-29.861654989780085,937.8300705236242
Model_Year,-0.9782454290493908,0.23541984512231684
Electric_Range,1.2194867245382488,-0.03204572596604205
Base_MSRP,11.930855909140766,518.6918937652797
Vehicle_ID,0.897196183628993,3.2904167068683687
Census_Tract,-25.965380842484407,696.1403141700539
Legislative_District,-0.4859819133227087,-1.061687045598417
Vehicle_Age,0.9782454290493973,0.2354198451223235
Has_Electric_Range,-0.14774281467956193,-1.9781983523819002
Range_Percentile,0.3236929191207437,-1.46469647646167
Range_ZScore,1.2194867245382481,-0.032045725966041605
Has_MSRP,6.3701770864951675,38.579668861086176
MSRP_Percentile,6.371840346648719,38.6082371843767
MSRP_ZScore,11.930855909140762,518.6918937652799
Range_per_MSRP,-0.44890277563970954,-1.3795124497435338
MSRP_per_Range,42.83032591809368,5164.616042551537
Make_Share_Pct,0.13549674515818588,-1.941677179461362
State_Share_Pct,-20.935789234390167,436.31309449328586
EV_Type_Share_Pct,-1.3255140053811714,-0.24301585154783023
CAFV_Share_Pct,-2.1833038740113335,3.102544579425154
Make_Rank,1.9448798224795272,3.929697661994741
State_Rank,33.119732838398384,1197.1331049114526
Model_Rank,2.3620048539655367,5.99639508178212
Long_Range_Flag,1.4047655870445799,-0.02663399961446844
Premium_MSRP_Flag,32.739788162760895,1069.9079486888127
Recent_Model_Flag,1.1506045744767923,-0.6761180994025953
Older_Model_Flag,2.060430795884966,2.2454049072916327
High_Range_Premium_Flag,56.55801238015774,3196.851252548669
Model_Year_Decade,-0.5685184100243686,-1.6356729465934459
Range_Score,1.4234001240124734,0.37767661124691587
Log_MSRP,6.379741079093245,38.74396137345987
Range_per_10K_MSRP,-0.448902775639705,-1.3795124497435243
Is_BEV,-1.325514005381171,-0.24301585154783156
Is_PHEV,1.3255140053811718,-0.2430158515478298
Manufacturer_Frequency,0.13549674515818577,-1.9416771794613625
Model_Frequency,0.32691817349689983,-1.7219696617027718
State_EV_Count,-20.935789234390164,436.31309449328535
City_EV_Count,1.567927928501136,0.72298187194842
Utility_EV_Count,-0.1737922793030938,-1.3101070127858292
CAFV_Eligible_Flag,-0.14774281467956193,-1.9781983523819002
Has_Location,0.0,0.0
Has_Census_Tract,-223.96130613236664,50157.33326687924
Has_Legislative_District,0.0,0.0
Has_VIN,0.0,0.0
Missing_Features_Count,-2.2400190631193957,8.802130240668989
Data_Completeness_Pct,2.2400190631194565,8.80213024066929
