Column,Mean,Median,Std,CV_%,Skewness,Distribution_Flag
Postal_Code,98168.34415433383,98122.0,2473.6121844174118,2.5197656186688464,-29.861654989780092,Left-skewed
Model_Year,2020.0054358660836,2021.0,3.0152087266815197,0.1492673570647467,-0.9782454290493908,Left-skewed
Electric_Range,67.87783921000518,18.0,96.23000869819067,141.7694048870171,1.2194867245382488,Right-skewed
Base_MSRP,1312.644734918462,0.0,9231.310214715764,703.2603696299584,11.930855909140766,Right-skewed
Vehicle_ID,211112233.346367,215030630.0,81963879.64188957,38.824789233039525,0.897196183628993,Right-skewed
Census_Tract,52971954662.7863,53033029309.0,1638841335.770886,3.0937905655994227,-25.965380842484407,Left-skewed
Legislative_District,29.352234818782314,33.0,14.809043129483372,50.45286405247465,-0.4859819133227087,Approximately symmetric
Vehicle_Age,5.994564133916349,5.0,3.01520872668152,50.2990485934068,0.9782454290493973,Right-skewed
Has_Electric_Range,0.5368349702954506,1.0,0.49864299582578914,92.88571412390623,-0.14774281467956193,Approximately symmetric
Range_Percentile,50.000332265653036,49.65843090868011,27.39297352197401,54.78558297659792,0.3236929191207437,Approximately symmetric
Range_ZScore,5.892780094819347e-17,-0.5183189722702684,1.0,1.6969918848306465e+18,1.2194867245382481,Right-skewed
Has_MSRP,0.02295955662471259,0.0,0.14977504617165963,652.3429377135653,6.3701770864951675,Right-skewed
MSRP_Percentile,50.00033226565304,48.85235443441741,7.489375385619645,14.978651233412615,6.371840346648719,Right-skewed
MSRP_ZScore,0.0,-0.1421948460605252,1.0,,11.930855909140762,Right-skewed
Range_per_MSRP,0.0021023200567953752,0.0029107981220657,0.001316772510899592,62.63425526685907,-0.44890277563970876,Approximately symmetric
MSRP_per_Range,58.4981696214781,0.0,494.7744441021906,845.7947441838078,42.83032591809368,Right-skewed
Make_Share_Pct,23.53226283045716,8.969179038024482,20.63480522142888,87.68729709546598,0.13549674515818588,Approximately symmetric
State_Share_Pct,99.54735767289671,99.7733948246302,4.7430067629559565,4.764573238137603,-20.935789234390167,Left-skewed
EV_Type_Share_Pct,65.25939632742498,77.62190826809851,23.024425355149294,35.281394942161576,-1.3255140053811714,Left-skewed
CAFV_Share_Pct,40.356472343204075,41.8329102484018,10.661207302802511,26.417589753971228,-2.1833038740113335,Left-skewed
Make_Rank,4.447541898698848,2.0,5.149401285126268,115.78083809919255,1.9448798224795272,Right-skewed
State_Rank,1.012998232346726,1.0,0.353989660701231,34.94474614049163,33.119732838398384,Right-skewed
Model_Rank,12.35372336890791,4.0,17.607682036413518,142.52935338287463,2.3620048539655367,Right-skewed
Long_Range_Flag,0.21261679137704179,0.0,0.409160120132387,192.44017251996203,1.4047655870445799,Right-skewed
Premium_MSRP_Flag,0.0009303438284977606,0.0,0.03048744767234206,3277.0086433066986,32.739788162760895,Right-skewed
Recent_Model_Flag,0.25066785396260016,0.0,0.43339904149982117,172.89773485055034,1.1506045744767923,Right-skewed
Older_Model_Flag,0.14122619316596005,0.0,0.3482558850726614,246.5944009858095,2.060430795884966,Right-skewed
High_Range_Premium_Flag,0.0003123297138528196,0.0,0.01767015107170649,5657.531220367098,56.55801238015774,Right-skewed
Model_Year_Decade,2016.34335003522,2020.0,4.822795895949484,0.23918525066007448,-0.5685184100243686,Left-skewed
Range_Score,1.4692255552159061,1.0,0.8528467208302821,58.04736500822396,1.4234001240124734,Right-skewed
Log_MSRP,0.2502110739818331,0.0,1.633016529745261,652.6555774521108,6.379741079093245,Right-skewed
Range_per_10K_MSRP,21.023200567954248,29.10798122065728,13.167725108995906,62.63425526685753,-0.448902775639705,Approximately symmetric
Is_BEV,0.776219082680985,1.0,0.4167783255898542,53.693388231366654,-1.325514005381171,Left-skewed
Is_PHEV,0.2237809173190149,0.0,0.4167783255898542,186.24390791807707,1.3255140053811718,Right-skewed
Manufacturer_Frequency,35411.81975252854,13497.0,31051.667593310613,87.687297095466,0.13549674515818577,Approximately symmetric
Model_Frequency,13155.110857112479,7611.0,12018.344538172994,91.35874770431998,0.32691817349689983,Approximately symmetric
State_EV_Count,149800.85477332838,150141.0,7137.371437031382,4.764573238137604,-20.935789234390164,Left-skewed
City_EV_Count,6441.1057933839265,2276.0,8949.123742784892,138.93769222013265,1.567927928501136,Right-skewed
Utility_EV_Count,32412.1256229981,29865.0,20305.38828787234,62.64750582561177,-0.1737922793030938,Approximately symmetric
CAFV_Eligible_Flag,0.5368349702954506,1.0,0.49864299582578914,92.88571412390623,-0.14774281467956193,Approximately symmetric
Has_Location,1.0,1.0,0.0,0.0,0.0,Approximately symmetric
Has_Census_Tract,0.9999800640608179,1.0,0.004464938321995059,0.4465027336508486,-223.96130613236664,Left-skewed
Has_Legislative_District,1.0,1.0,0.0,0.0,0.0,Approximately symmetric
Has_VIN,1.0,1.0,0.0,0.0,0.0,Approximately symmetric
Missing_Features_Count,3.3943262317087757,3.0,0.7171549902725256,21.12805138095093,-2.2400190631193957,Left-skewed
Data_Completeness_Pct,94.93384144521077,95.52238805970148,1.0703805824963015,1.1275016013273318,2.2400190631194565,Right-skewed
