Battery Electric Vehicle (BEV),Plug-in Hybrid Electric Vehicle (PHEV)
0.0,10.0
524.0,255.0
6.0,0.0
0.0,2.0
226.0,498.0
38.0,54.0
294.0,444.0
0.0,219.0
74.0,0.0
0.0,10.0
513.0,301.0
35.0,0.0
0.0,86.0
336.0,188.0
76.0,0.0
0.0,194.0
266.0,256.0
0.0,31.0
11.0,41.0
0.0,78.0
50.0,0.0
0.0,29.0
221.0,79.0
44.0,53.0
25.0,73.0
365.0,0.0
70.0,0.0
174.0,201.0
108.0,0.0
81.0,0.0
11.0,11.0
1303.0,0.0
3.0,0.0
44.0,246.0
327.0,0.0
116.0,827.0
0.0,2.0
