EV_Type,Vehicle_Count,Avg_Range,Avg_MSRP,Share_Pct
Battery Electric Vehicle (BEV),5341,78.60890186375816,1146.231390242023,56.049952775737225
Plug-in Hybrid Electric Vehicle (PHEV),4188,30.65547141796585,1889.875426874536,43.950047224262775
