Battery Electric Vehicle (BEV),Plug-in Hybrid Electric Vehicle (PHEV)
1.0,0.0
1.0,0.0
3.0,0.0
7.0,0.0
2.0,0.0
1.0,0.0
10.0,0.0
11.0,2.0
23.0,17.0
81.0,82.0
145.0,123.0
134.0,190.0
238.0,133.0
238.0,226.0
255.0,309.0
229.0,466.0
360.0,380.0
385.0,387.0
670.0,469.0
1066.0,684.0
1374.0,605.0
107.0,115.0
