Range_Group,Vehicle_Count,Avg_MSRP,Share_Pct
0–50,7044,638.349339977095,73.9217126665967
51–100,838,1299.5339727632156,8.79420715709938
101–200,462,379.90322092847424,4.848357645083429
201–300,1141,4060.1749375223135,11.973974184069682
300+,44,0.0,0.4617483471508028
