Age_Group,Vehicle_Count,Avg_Range,Avg_MSRP,Share_Pct
0–3 Years,5090,5.982471141513467,0.0,53.41588834085423
4–6 Years,2207,188.30750027433336,1591.1687973225064,23.160877321859587
7–10 Years,1723,101.48926265864476,3100.124500461113,18.081645503200754
10+ Years,509,75.89624379872431,9771.110559886605,5.341588834085424
